"Ann Answer","Correct Answer","Answered Correctly","Raw Sum","Ideal Sum",Variance,"Ideal Output","Raw Output"
7,7,1,-8.0000097751617,-8,9.7751617431641E-6,"-1 -1 -1 -1 -1 -1 -1 1 -1 -1","-1 -1 -1 -0.99993270635605 -1 -0.99999994039536 -1 0.99990904331207 -1 -0.99998617172241"
2,2,1,-7.9946426749229,-8,-0.0053573250770569,"-1 -1 1 -1 -1 -1 -1 -1 -1 -1","-1 -0.99999922513962 0.99655014276505 -0.99960720539093 -1 -0.99168354272842 -1 -1 -0.99990284442902 -1"
1,1,1,-7.9974898695946,-8,-0.002510130405426,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99996995925903 -0.99999982118607 -0.99999958276749 -1 -0.99977612495422 -1 -0.99768429994583 -1 -1"
0,0,1,-7.9839057326317,-8,-0.016094267368317,"1 -1 -1 -1 -1 -1 -1 -1 -1 -1","0.99992793798447 -1 -0.99999958276749 -0.99998807907104 -0.99998611211777 -0.99695956707001 -0.99425780773163 -0.9999897480011 -0.99996793270111 -0.99268484115601"
4,4,1,-7.9925092458725,-8,-0.0074907541275024,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-1 -1 -0.99999970197678 -1 0.99996441602707 -0.99999988079071 -0.99999845027924 -0.9999977350235 -0.99999809265137 -0.99247980117798"
1,1,1,-7.9992654323578,-8,-0.00073456764221191,"-1 1 -1 -1 -1 -1 -1 -1 -1 -1","-1 0.99998313188553 -1 -0.99939799308777 -0.99999815225601 -0.99999177455902 -1 -0.9998654127121 -0.99999564886093 -0.99999958276749"
4,4,1,-7.9997942447662,-8,-0.00020575523376465,"-1 -1 -1 -1 1 -1 -1 -1 -1 -1","-1 -0.99999994039536 -1 -0.99998587369919 0.99995893239975 -0.99986708164215 -1 -0.99999958276749 -0.9999657869339 -0.99993491172791"
9,9,1,-8.0021129846573,-8,0.0021129846572876,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-1 -0.99999988079071 -0.99997359514236 -0.9982100725174 -0.99945384263992 -0.99897629022598 -1 -0.99995148181915 -0.99999839067459 0.99445056915283"
4,5,-1,-9.4691601395607,-8,1.4691601395607,"-1 -1 -1 -1 -1 1 -1 -1 -1 -1","-0.98656505346298 -1 -0.99999994039536 -1 -0.58258700370789 -0.96412020921707 -0.9999805688858 -1 -0.93592941761017 -0.99997794628143"
9,9,1,-8.6027866899967,-8,0.60278668999672,"-1 -1 -1 -1 -1 -1 -1 -1 -1 1","-1 -1 -1 -0.99999403953552 -0.99911540746689 -0.99991697072983 -0.99999964237213 -0.99048739671707 -0.99960798025131 0.38633474707603"
